type,Status,Amount_In_Dollars,Original_Date,Fee_In_Dollars,Market_Ticker,Direction,Order_Type,Price_In_Cents,Result
Deposit,Completed,100.00,2026-05-01 14:00:00,0.00,,,,,
Deposit,Completed,50.00,2026-05-01 15:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-02 09:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-04 17:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-04 14:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-05 09:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-07 12:00:00,0.00,,,,,
Deposit,Completed,250.00,2026-05-08 10:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-08 15:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-09 12:00:00,0.00,,,,,
Deposit,Completed,250.00,2026-05-11 17:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-12 09:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-13 10:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-13 09:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-14 15:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-16 12:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-17 17:00:00,0.00,,,,,
Deposit,Completed,250.00,2026-05-18 13:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-19 11:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-20 10:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-21 13:00:00,0.00,,,,,
Deposit,Completed,100.00,2026-05-21 11:00:00,0.00,,,,,
Deposit,Completed,200.00,2026-05-22 12:00:00,0.00,,,,,
Deposit,Completed,500.00,2026-05-23 10:00:00,0.00,,,,,
Withdrawal,Completed,300.00,2026-05-10 21:00:00,0.00,,,,,
Withdrawal,Completed,300.00,2026-05-23 21:00:00,0.00,,,,,
Trade,Filled,-9.20,2026-05-02 03:37:00,0.35,KXBTC15M,no,market,46,loss
Settlement,Settled,0.00,2026-05-02 03:52:00,0.00,KXBTC15M,no,,46,loss
Trade,Filled,-7.80,2026-05-02 01:56:00,0.12,KXHIGHNY,yes,market,78,loss
Settlement,Settled,0.00,2026-05-02 02:11:00,0.00,KXHIGHNY,yes,,78,loss
Trade,Filled,-14.50,2026-05-01 19:23:00,0.43,KXHIGHNY,no,market,58,loss
Settlement,Settled,0.00,2026-05-01 19:38:00,0.00,KXHIGHNY,no,,58,loss
Trade,Filled,-17.00,2026-05-02 19:14:00,0.18,KXBTC15M,no,market,85,loss
Settlement,Settled,0.00,2026-05-02 19:29:00,0.00,KXBTC15M,no,,85,loss
Trade,Filled,-10.00,2026-05-03 02:20:00,0.53,KXBTCD,no,market,25,loss
Settlement,Settled,0.00,2026-05-03 02:35:00,0.00,KXBTCD,no,,25,loss
Trade,Filled,-3.90,2026-05-02 23:58:00,0.00,KXBTCD,no,limit,78,loss
Settlement,Settled,0.00,2026-05-03 00:13:00,0.00,KXBTCD,no,,78,loss
Trade,Filled,-23.60,2026-05-02 19:06:00,0.68,KXBTC15M,no,market,59,loss
Settlement,Settled,0.00,2026-05-02 19:21:00,0.00,KXBTC15M,no,,59,loss
Trade,Filled,-7.90,2026-05-03 23:55:00,0.12,KXBTC15M,yes,market,79,loss
Settlement,Settled,0.00,2026-05-04 00:10:00,0.00,KXBTC15M,yes,,79,loss
Trade,Filled,-5.60,2026-05-03 19:00:00,0.18,KXBTC15M,no,market,56,loss
Settlement,Settled,0.00,2026-05-03 19:15:00,0.00,KXBTC15M,no,,56,loss
Trade,Filled,-8.20,2026-05-04 02:28:00,0.34,KXBTC15M,no,market,41,loss
Settlement,Settled,0.00,2026-05-04 02:43:00,0.00,KXBTC15M,no,,41,loss
Trade,Filled,-22.00,2026-05-04 01:20:00,0.70,KXINXD,no,market,55,loss
Settlement,Settled,0.00,2026-05-04 01:35:00,0.00,KXINXD,no,,55,loss
Trade,Filled,-3.00,2026-05-03 21:56:00,0.15,KXBTC15M,yes,market,30,win
Settlement,Settled,10.00,2026-05-03 22:11:00,0.00,KXBTC15M,yes,,30,win
Trade,Filled,-4.30,2026-05-04 02:16:00,0.18,KXHIGHNY,yes,market,43,loss
Settlement,Settled,0.00,2026-05-04 02:31:00,0.00,KXHIGHNY,yes,,43,loss
Trade,Filled,-6.00,2026-05-04 03:07:00,0.17,KXBTC15M,yes,market,60,loss
Settlement,Settled,0.00,2026-05-04 03:22:00,0.00,KXBTC15M,yes,,60,loss
Trade,Filled,-14.00,2026-05-04 03:32:00,0.30,KXBTCD,no,market,70,loss
Settlement,Settled,0.00,2026-05-04 03:47:00,0.00,KXBTCD,no,,70,loss
Trade,Filled,-2.80,2026-05-03 19:03:00,0.15,KXBTC15M,yes,market,28,loss
Settlement,Settled,0.00,2026-05-03 19:18:00,0.00,KXBTC15M,yes,,28,loss
Trade,Filled,-5.00,2026-05-03 18:53:00,0.28,KXBTC15M,yes,market,20,loss
Settlement,Settled,0.00,2026-05-03 19:08:00,0.00,KXBTC15M,yes,,20,loss
Trade,Filled,-11.50,2026-05-03 18:26:00,0.44,KXBTC15M,no,market,46,loss
Settlement,Settled,0.00,2026-05-03 18:41:00,0.00,KXBTC15M,no,,46,loss
Trade,Filled,-1.75,2026-05-04 00:12:00,0.00,KXBTCD,no,limit,35,loss
Settlement,Settled,0.00,2026-05-04 00:27:00,0.00,KXBTCD,no,,35,loss
Trade,Filled,-3.00,2026-05-04 02:15:00,0.15,KXBTC15M,no,market,30,loss
Settlement,Settled,0.00,2026-05-04 02:30:00,0.00,KXBTC15M,no,,30,loss
Trade,Filled,-2.20,2026-05-04 02:10:00,0.00,KXBTC15M,no,limit,22,loss
Settlement,Settled,0.00,2026-05-04 02:25:00,0.00,KXBTC15M,no,,22,loss
Trade,Filled,-23.20,2026-05-04 03:16:00,0.00,KXBTC15M,no,limit,58,loss
Settlement,Settled,0.00,2026-05-04 03:31:00,0.00,KXBTC15M,no,,58,loss
Trade,Filled,-12.00,2026-05-03 20:51:00,0.44,KXBTC15M,no,market,48,loss
Settlement,Settled,0.00,2026-05-03 21:06:00,0.00,KXBTC15M,no,,48,loss
Trade,Filled,-28.40,2026-05-03 21:19:00,0.00,KXBTC15M,yes,limit,71,loss
Settlement,Settled,0.00,2026-05-03 21:34:00,0.00,KXBTC15M,yes,,71,loss
Trade,Filled,-11.50,2026-05-04 00:04:00,0.62,KXBTC15M,no,market,23,loss
Settlement,Settled,0.00,2026-05-04 00:19:00,0.00,KXBTC15M,no,,23,loss
Trade,Filled,-6.40,2026-05-04 23:52:00,0.17,KXBTCD,yes,market,64,loss
Settlement,Settled,0.00,2026-05-05 00:07:00,0.00,KXBTCD,yes,,64,loss
Trade,Filled,-6.30,2026-05-05 02:01:00,0.17,KXBTC15M,yes,market,63,loss
Settlement,Settled,0.00,2026-05-05 02:16:00,0.00,KXBTC15M,yes,,63,loss
Trade,Filled,-7.00,2026-05-04 23:52:00,0.32,KXBTC15M,yes,market,35,loss
Settlement,Settled,0.00,2026-05-05 00:07:00,0.00,KXBTC15M,yes,,35,loss
Trade,Filled,-3.10,2026-05-04 21:02:00,0.00,KXBTCD,no,limit,62,loss
Settlement,Settled,0.00,2026-05-04 21:17:00,0.00,KXBTCD,no,,62,loss
